,Retail_Product_Color,Retail_Product_Level1,Retail_Product_Level1Name,Retail_Product_Level2Name,Retail_Product_Level3Name,Retail_Product_Level4Name,Retail_Product_Name,Retail_Product_SKU,Retail_Product_Size,Retail_Product_Style,Retail_SOHQTY,Retail_CCQTY,_merge,diff,unders
0,BRANCO,C,VESTUARIO,CR,CRB,CRBK,CALCINHA CR SLO ELLA ESTAMPADO CINZA P B,9568860004.0,P,KIT CALCINHA,1,1,both,0,0
1,ROSA,C,VESTUARIO,CY,CYA,CYAE,BERMUDA SARJA CRN SLO INK ABERTURA BARRA,9384260002.0,40,BOTTOM CURTO SARJA,3,1,both,-2,2
2,,H,ELETRO-ELETRONICOS,HZ,HZB,HZBO,RELOGIO FEM MONDAINE PRATA KIT COLAR ANA,9735510000.0,,KIT FEMININO PRATA,1,1,both,0,0
3,JEANS,C,VESTUARIO,CY,CYA,CYAA,CALCA JEANS CF MSA INK USED TANK DIRT LI,9579550002.0,38,CALÇA JEANS,3,3,both,0,0
4,JEANS,C,VESTUARIO,CY,CYC,CYCD,SHORT JEANS PS PRD BARRA DOBRADA E PREGA,9633210004.0,52,BOTTOM CURTO JEANS PLUS,2,0,left_only,-2,2
5,CINZA,C,VESTUARIO,CN,CNC,CNCC,CAMISOLA MANGA CURTA JV CN SLO DISNEY V,9297040008.0,GG,CAMISOLA / ROBE,3,3,both,0,0
6,VERDE,C,VESTUARIO,CM,CMB,CMBA,CALCA CM EVT JNS MSA INK JOGGER CAMUFLAD,9440550005.0,42,CALÇA SARJA,1,0,left_only,-1,1
7,JEANS,C,VESTUARIO,CY,CYA,CYAA,CALCA JEANS JV MSA INK VISTA ABOTOADA ST,9383950001.0,34,CALÇA JEANS,3,0,left_only,-3,3
8,JEANS,C,VESTUARIO,CY,CYA,CYAA,CALCA JEANS  BIO MARCA DE TERCEIROS Jogg,9697910002.0,36,CALÇA JEANS,1,0,left_only,-1,1
9,PRETO,C,VESTUARIO,CJ,CJA,CJAT,SOUTIEN APP5 SNS PP SLO PUSH UP LUTESTIL,7575540002.0,42,SOUTIEN / TOP,1,1,both,0,0
10,,H,ELETRO-ELETRONICOS,HJ,HJB,HJBA,TABLET SAMS A7 32GB LITE GRAFITE WIFI  3,9296480000.0,,TABLET WIFI ANDROID,3,3,both,0,0
11,JEANS,C,VESTUARIO,CY,CYA,CYAA,CALCA JEANS CF PRD INK USED TANK PUIDOS,9479600005.0,44,CALÇA JEANS,2,1,both,-1,1
12,ROSA,C,VESTUARIO,CY,CYC,CYCC,BERMUDA SARJA PS SLO INK ABERTURA BARRA,9383760002.0,48,BOTTOM CURTO SARJA PLUS,1,1,both,0,0
13,VERMELHO,C,VESTUARIO,CJ,CJA,CJAS,SHORT APP DOLL SEM MANGA SNS SLO ELLA LI,8907110003.0,GG,SHORT DOLL,1,0,left_only,-1,1
14,JEANS,C,VESTUARIO,CY,CYA,CYAA,CALCA JEANS CRN MSA INK SKY USED TANK BA,9479810002.0,46,CALÇA JEANS,1,0,left_only,-1,1
15,VERDE,C,VESTUARIO,CY,CYA,CYAE,SHORT   INK LISO 07FE00754 VERDE 36 VERD,9585500009.0,36,BOTTOM CURTO SARJA,1,0,left_only,-1,1
16,JEANS,C,VESTUARIO,CY,CYC,CYCE,BLUSA MANGA CURTA JEANS PS PRD INK MANGA,9427230004.0,50,TOP PLUS,2,0,left_only,-2,2
17,VERDE,C,VESTUARIO,CY,CYA,CYAE,SHORT JEANS CRN MSA INK AMASSADINHO VERD,9630400003.0,38,BOTTOM CURTO SARJA,2,1,both,-1,1
18,VERDE,C,VESTUARIO,CY,CYA,CYAB,CALCA SARJA CRN MSA INK PUSH UP BOLSO SE,9415660009.0,44,CALÇA SARJA,1,0,left_only,-1,1
19,PRETO,C,VESTUARIO,CJ,CJA,CJAS,SHORT DOLL SEM MANGA CJ ELLA LISO PRETO,9649150004.0,P,SHORT DOLL,1,1,both,0,0
20,VINHO,C,VESTUARIO,CM,CMB,CMBA,CALCA CM MSA INK SLIM VINHO EMP 5 POCKET,9440750005.0,40,CALÇA SARJA,2,0,left_only,-2,2
21,VERDE,C,VESTUARIO,CR,CRA,CRAS,SHORT DOLL SEM MANGA CR PRD ELLA RENDA F,9470370001.0,M,SHORT DOLL,1,1,both,0,0
22,PRETO,C,VESTUARIO,C8,C8A,C8AA,CALCA C8 SLO EVT LCM INFO INK COS DE ELA,9275450001.0,8,CALÇA,3,2,both,-1,1
23,MARROM,C,VESTUARIO,C5,C5A,C5AB,OCULOS  C5 MSA MAIS ACESSORIOS MET UNI M,9683600001.0,UNICO,ÓCULOS METAL,1,1,both,0,0
24,BRANCO,C,VESTUARIO,C6,C6A,C6AB,3 CALCINHAS APP TRS MFB GATINHOS BRC PIN,7797270004.0,GG,CALCINHA / BOTTOM,4,1,both,-3,3
25,JEANS,C,VESTUARIO,CM,CMC,CMCB,BERMUDA JEANS EVT PAIS  INK LISO 02MA006,9571220001.0,36,BERMUDA JOVEM,1,0,left_only,-1,1
26,,H,ELETRO-ELETRONICOS,HB,HBH,HBHF,NOKIA C30 BRANCO 64GB NK043,9639750000.0,,OUTROS,3,3,both,0,0
27,ROSA,C,VESTUARIO,CN,CNC,CNCS,SHORT DOLL MANGA CURTA JV CN PRD MICKEY,9353140003.0,M,SHORT DOLL,3,4,both,1,0
28,JEANS,C,VESTUARIO,CY,CYA,CYAA,CALCA JEANS CRN MSA INK RECORTES  LISO C,9588600006.0,46,CALÇA JEANS,1,0,left_only,-1,1
29,,W,BELEZA,WB,WBN,WBNS,DESODORANTE COLONIA SPLASH JEQUITI EU DE,9655180000.0,,SPRAY/ COLÔNIA,3,3,both,0,0
30,JEANS,C,VESTUARIO,CM,CMA,CMAA,CALCA CM MSA INK SLIM LAVAGEM COM USED B,9440900003.0,40,CALÇA JEANS,1,0,left_only,-1,1
31,PRETO,C,VESTUARIO,CP,CPM,CPMG,3 PARES MEIA INVISIVEL ACC SLO PRETAS LI,9429890001.0,34/39,MEIA CASUAL/ESPORTIVA,4,1,both,-3,3
